Career,Category,InterestKeywords,Description,IdealAudience,EntryPaths,CoreSkills,ToolsTech,Roadmap,12WeekPlan
Product Manager,Product & UX,"A/B testing, MVP, OKRs, PRD, backlog, design thinking, prioritization, product-market fit, roadmaps, stakeholder management, stakeholders, user research","Product Manager focuses on A/B testing, MVP, OKRs, PRD, backlog and delivers value through practical projects, collaboration, and measurable outcomes in the Product & UX domain.","Students, career switchers, and early professionals seeking a structured, hands-on roadmap with measurable milestones.",Degree/Bootcamp; Self-study projects; Internships/Apprenticeships; Volunteering; Certifications,"Discovery, Prioritization, Spec Writing, Analytics, Communication, UX Fundamentals, Experimentation","Jira, Notion, Figma, Amplitude/GA4, Looker, Excel, Miro",Explore: Learn product fundamentals and mental models. | Research: Practice discovery interviews and mapping jobs-to-be-done. | Build: Write PRDs; partner with design/engineering to ship MVPs. | Measure: Define metrics and dashboards; run experiments. | Scale: Create roadmaps and communicate strategy across stakeholders. | Advance: Lead multi-team initiatives; mentor associate PMs.,Week 1: Learn product frameworks; analyze 3 products. | Week 2: Interview 5 users; synthesize insights. | Week 3: Draft a PRD; define success metrics. | Week 4: Wireframes in Figma; scope MVP. | Week 5: Partner with engineering to estimate and plan. | Week 6: Ship a prototype; collect feedback. | Week 7: A/B test one hypothesis; instrument analytics. | Week 8: Iterate based on data; update roadmap. | Week 9: Stakeholder review; risks & dependencies. | Week 10: Launch v1; measure impact. | Week 11: Post-launch review; write a memo. | Week 12: Present portfolio case study.
Growth Product Manager,Product & UX,"A/B testing, MVP, OKRs, PRD, backlog, design thinking, prioritization, product-market fit, roadmaps, stakeholder management, stakeholders, user research","Growth Product Manager focuses on A/B testing, MVP, OKRs, PRD, backlog and delivers value through practical projects, collaboration, and measurable outcomes in the Product & UX domain.","Students, career switchers, and early professionals seeking a structured, hands-on roadmap with measurable milestones.",Degree/Bootcamp; Self-study projects; Internships/Apprenticeships; Volunteering; Certifications,"Discovery, Prioritization, Spec Writing, Analytics, Communication, UX Fundamentals, Experimentation","Jira, Notion, Figma, Amplitude/GA4, Looker, Excel, Miro",Explore: Learn product fundamentals and mental models. | Research: Practice discovery interviews and mapping jobs-to-be-done. | Build: Write PRDs; partner with design/engineering to ship MVPs. | Measure: Define metrics and dashboards; run experiments. | Scale: Create roadmaps and communicate strategy across stakeholders. | Advance: Lead multi-team initiatives; mentor associate PMs.,Week 1: Learn product frameworks; analyze 3 products. | Week 2: Interview 5 users; synthesize insights. | Week 3: Draft a PRD; define success metrics. | Week 4: Wireframes in Figma; scope MVP. | Week 5: Partner with engineering to estimate and plan. | Week 6: Ship a prototype; collect feedback. | Week 7: A/B test one hypothesis; instrument analytics. | Week 8: Iterate based on data; update roadmap. | Week 9: Stakeholder review; risks & dependencies. | Week 10: Launch v1; measure impact. | Week 11: Post-launch review; write a memo. | Week 12: Present portfolio case study.
Technical Program Manager,Product & UX,"A/B testing, MVP, OKRs, backlog, design thinking, prioritization, product-market fit, roadmaps, stakeholders, user research","Technical Program Manager focuses on A/B testing, MVP, OKRs, backlog, design thinking and delivers value through practical projects, collaboration, and measurable outcomes in the Product & UX domain.","Students, career switchers, and early professionals seeking a structured, hands-on roadmap with measurable milestones.",Degree/Bootcamp; Self-study projects; Internships/Apprenticeships; Volunteering; Certifications,"Discovery, Prioritization, Spec Writing, Analytics, Communication, UX Fundamentals, Experimentation","Jira, Notion, Figma, Amplitude/GA4, Looker, Excel, Miro",Explore: Learn product fundamentals and mental models. | Research: Practice discovery interviews and mapping jobs-to-be-done. | Build: Write PRDs; partner with design/engineering to ship MVPs. | Measure: Define metrics and dashboards; run experiments. | Scale: Create roadmaps and communicate strategy across stakeholders. | Advance: Lead multi-team initiatives; mentor associate PMs.,Week 1: Learn product frameworks; analyze 3 products. | Week 2: Interview 5 users; synthesize insights. | Week 3: Draft a PRD; define success metrics. | Week 4: Wireframes in Figma; scope MVP. | Week 5: Partner with engineering to estimate and plan. | Week 6: Ship a prototype; collect feedback. | Week 7: A/B test one hypothesis; instrument analytics. | Week 8: Iterate based on data; update roadmap. | Week 9: Stakeholder review; risks & dependencies. | Week 10: Launch v1; measure impact. | Week 11: Post-launch review; write a memo. | Week 12: Present portfolio case study.
UX Designer,Design & Art,"3D, branding, color theory, composition, design system, illustration, motion, prototyping, style guide, typography, ux, visual design","UX Designer focuses on 3D, branding, color theory, composition, design system and delivers value through practical projects, collaboration, and measurable outcomes in the Design & Art domain.","Students, career switchers, and early professionals seeking a structured, hands-on roadmap with measurable milestones.",Degree/Bootcamp; Self-study projects; Internships/Apprenticeships; Volunteering; Certifications,"Layout, Typography, Color, Prototyping, Research, Collaboration, Presentation","Figma, Adobe CC, Blender, Procreate, Pen & Paper","Explore: Foundations in design principles and history. | Learn: Structured course and daily design exercises. | Build: Portfolio projects with process write-ups. | Validate: Usability tests and critique sessions. | Publish: Case studies and social presence. | Advance: Specialize (brand, motion, 3D, UX) and freelance.",Week 1: Design audits of 5 products; mood boards. | Week 2: Typography & grids; redesign a landing page. | Week 3: Color systems; design tokens. | Week 4: Component libraries; prototyping interactions. | Week 5: Logo/brand exercise; style guide. | Week 6: Usability testing; iterate. | Week 7: Motion basics; microinteractions. | Week 8: Accessibility review; contrast & semantics. | Week 9: Hand-off practices; specs and annotations. | Week 10: Portfolio case study #1. | Week 11: Portfolio case study #2. | Week 12: Critique session and job outreach.
UI Designer,Design & Art,"3D, branding, color theory, composition, design system, illustration, motion, prototyping, style guide, typography, ux, visual design","UI Designer focuses on 3D, branding, color theory, composition, design system and delivers value through practical projects, collaboration, and measurable outcomes in the Design & Art domain.","Students, career switchers, and early professionals seeking a structured, hands-on roadmap with measurable milestones.",Degree/Bootcamp; Self-study projects; Internships/Apprenticeships; Volunteering; Certifications,"Layout, Typography, Color, Prototyping, Research, Collaboration, Presentation","Figma, Adobe CC, Blender, Procreate, Pen & Paper","Explore: Foundations in design principles and history. | Learn: Structured course and daily design exercises. | Build: Portfolio projects with process write-ups. | Validate: Usability tests and critique sessions. | Publish: Case studies and social presence. | Advance: Specialize (brand, motion, 3D, UX) and freelance.",Week 1: Design audits of 5 products; mood boards. | Week 2: Typography & grids; redesign a landing page. | Week 3: Color systems; design tokens. | Week 4: Component libraries; prototyping interactions. | Week 5: Logo/brand exercise; style guide. | Week 6: Usability testing; iterate. | Week 7: Motion basics; microinteractions. | Week 8: Accessibility review; contrast & semantics. | Week 9: Hand-off practices; specs and annotations. | Week 10: Portfolio case study #1. | Week 11: Portfolio case study #2. | Week 12: Critique session and job outreach.
UX Researcher,Product & UX,"A/B testing, MVP, OKRs, backlog, design thinking, prioritization, product-market fit, roadmaps, stakeholders, user research","UX Researcher focuses on A/B testing, MVP, OKRs, backlog, design thinking and delivers value through practical projects, collaboration, and measurable outcomes in the Product & UX domain.","Students, career switchers, and early professionals seeking a structured, hands-on roadmap with measurable milestones.",Degree/Bootcamp; Self-study projects; Internships/Apprenticeships; Volunteering; Certifications,"Discovery, Prioritization, Spec Writing, Analytics, Communication, UX Fundamentals, Experimentation","Jira, Notion, Figma, Amplitude/GA4, Looker, Excel, Miro",Explore: Learn product fundamentals and mental models. | Research: Practice discovery interviews and mapping jobs-to-be-done. | Build: Write PRDs; partner with design/engineering to ship MVPs. | Measure: Define metrics and dashboards; run experiments. | Scale: Create roadmaps and communicate strategy across stakeholders. | Advance: Lead multi-team initiatives; mentor associate PMs.,Week 1: Learn product frameworks; analyze 3 products. | Week 2: Interview 5 users; synthesize insights. | Week 3: Draft a PRD; define success metrics. | Week 4: Wireframes in Figma; scope MVP. | Week 5: Partner with engineering to estimate and plan. | Week 6: Ship a prototype; collect feedback. | Week 7: A/B test one hypothesis; instrument analytics. | Week 8: Iterate based on data; update roadmap. | Week 9: Stakeholder review; risks & dependencies. | Week 10: Launch v1; measure impact. | Week 11: Post-launch review; write a memo. | Week 12: Present portfolio case study.
UX Writer,Design & Art,"3D, branding, color theory, composition, design system, illustration, motion, prototyping, style guide, typography, ux, visual design","UX Writer focuses on 3D, branding, color theory, composition, design system and delivers value through practical projects, collaboration, and measurable outcomes in the Design & Art domain.","Students, career switchers, and early professionals seeking a structured, hands-on roadmap with measurable milestones.",Degree/Bootcamp; Self-study projects; Internships/Apprenticeships; Volunteering; Certifications,"Layout, Typography, Color, Prototyping, Research, Collaboration, Presentation","Figma, Adobe CC, Blender, Procreate, Pen & Paper","Explore: Foundations in design principles and history. | Learn: Structured course and daily design exercises. | Build: Portfolio projects with process write-ups. | Validate: Usability tests and critique sessions. | Publish: Case studies and social presence. | Advance: Specialize (brand, motion, 3D, UX) and freelance.",Week 1: Design audits of 5 products; mood boards. | Week 2: Typography & grids; redesign a landing page. | Week 3: Color systems; design tokens. | Week 4: Component libraries; prototyping interactions. | Week 5: Logo/brand exercise; style guide. | Week 6: Usability testing; iterate. | Week 7: Motion basics; microinteractions. | Week 8: Accessibility review; contrast & semantics. | Week 9: Hand-off practices; specs and annotations. | Week 10: Portfolio case study #1. | Week 11: Portfolio case study #2. | Week 12: Critique session and job outreach.
Interaction Designer,Design & Art,"3D, branding, color theory, composition, design system, illustration, motion, prototyping, style guide, typography, ux, visual design","Interaction Designer focuses on 3D, branding, color theory, composition, design system and delivers value through practical projects, collaboration, and measurable outcomes in the Design & Art domain.","Students, career switchers, and early professionals seeking a structured, hands-on roadmap with measurable milestones.",Degree/Bootcamp; Self-study projects; Internships/Apprenticeships; Volunteering; Certifications,"Layout, Typography, Color, Prototyping, Research, Collaboration, Presentation","Figma, Adobe CC, Blender, Procreate, Pen & Paper","Explore: Foundations in design principles and history. | Learn: Structured course and daily design exercises. | Build: Portfolio projects with process write-ups. | Validate: Usability tests and critique sessions. | Publish: Case studies and social presence. | Advance: Specialize (brand, motion, 3D, UX) and freelance.",Week 1: Design audits of 5 products; mood boards. | Week 2: Typography & grids; redesign a landing page. | Week 3: Color systems; design tokens. | Week 4: Component libraries; prototyping interactions. | Week 5: Logo/brand exercise; style guide. | Week 6: Usability testing; iterate. | Week 7: Motion basics; microinteractions. | Week 8: Accessibility review; contrast & semantics. | Week 9: Hand-off practices; specs and annotations. | Week 10: Portfolio case study #1. | Week 11: Portfolio case study #2. | Week 12: Critique session and job outreach.
Motion Designer,Design & Art,"3D, branding, color theory, composition, design system, illustration, motion, prototyping, style guide, typography, ux, visual design","Motion Designer focuses on 3D, branding, color theory, composition, design system and delivers value through practical projects, collaboration, and measurable outcomes in the Design & Art domain.","Students, career switchers, and early professionals seeking a structured, hands-on roadmap with measurable milestones.",Degree/Bootcamp; Self-study projects; Internships/Apprenticeships; Volunteering; Certifications,"Layout, Typography, Color, Prototyping, Research, Collaboration, Presentation","Figma, Adobe CC, Blender, Procreate, Pen & Paper","Explore: Foundations in design principles and history. | Learn: Structured course and daily design exercises. | Build: Portfolio projects with process write-ups. | Validate: Usability tests and critique sessions. | Publish: Case studies and social presence. | Advance: Specialize (brand, motion, 3D, UX) and freelance.",Week 1: Design audits of 5 products; mood boards. | Week 2: Typography & grids; redesign a landing page. | Week 3: Color systems; design tokens. | Week 4: Component libraries; prototyping interactions. | Week 5: Logo/brand exercise; style guide. | Week 6: Usability testing; iterate. | Week 7: Motion basics; microinteractions. | Week 8: Accessibility review; contrast & semantics. | Week 9: Hand-off practices; specs and annotations. | Week 10: Portfolio case study #1. | Week 11: Portfolio case study #2. | Week 12: Critique session and job outreach.
Graphic Designer,Design & Art,"3D, branding, color theory, composition, design system, illustration, motion, prototyping, style guide, typography, ux, visual design","Graphic Designer focuses on 3D, branding, color theory, composition, design system and delivers value through practical projects, collaboration, and measurable outcomes in the Design & Art domain.","Students, career switchers, and early professionals seeking a structured, hands-on roadmap with measurable milestones.",Degree/Bootcamp; Self-study projects; Internships/Apprenticeships; Volunteering; Certifications,"Layout, Typography, Color, Prototyping, Research, Collaboration, Presentation","Figma, Adobe CC, Blender, Procreate, Pen & Paper","Explore: Foundations in design principles and history. | Learn: Structured course and daily design exercises. | Build: Portfolio projects with process write-ups. | Validate: Usability tests and critique sessions. | Publish: Case studies and social presence. | Advance: Specialize (brand, motion, 3D, UX) and freelance.",Week 1: Design audits of 5 products; mood boards. | Week 2: Typography & grids; redesign a landing page. | Week 3: Color systems; design tokens. | Week 4: Component libraries; prototyping interactions. | Week 5: Logo/brand exercise; style guide. | Week 6: Usability testing; iterate. | Week 7: Motion basics; microinteractions. | Week 8: Accessibility review; contrast & semantics. | Week 9: Hand-off practices; specs and annotations. | Week 10: Portfolio case study #1. | Week 11: Portfolio case study #2. | Week 12: Critique session and job outreach.
Brand Designer,Design & Art,"3D, branding, color theory, composition, design system, illustration, motion, prototyping, style guide, typography, ux, visual design","Brand Designer focuses on 3D, branding, color theory, composition, design system and delivers value through practical projects, collaboration, and measurable outcomes in the Design & Art domain.","Students, career switchers, and early professionals seeking a structured, hands-on roadmap with measurable milestones.",Degree/Bootcamp; Self-study projects; Internships/Apprenticeships; Volunteering; Certifications,"Layout, Typography, Color, Prototyping, Research, Collaboration, Presentation","Figma, Adobe CC, Blender, Procreate, Pen & Paper","Explore: Foundations in design principles and history. | Learn: Structured course and daily design exercises. | Build: Portfolio projects with process write-ups. | Validate: Usability tests and critique sessions. | Publish: Case studies and social presence. | Advance: Specialize (brand, motion, 3D, UX) and freelance.",Week 1: Design audits of 5 products; mood boards. | Week 2: Typography & grids; redesign a landing page. | Week 3: Color systems; design tokens. | Week 4: Component libraries; prototyping interactions. | Week 5: Logo/brand exercise; style guide. | Week 6: Usability testing; iterate. | Week 7: Motion basics; microinteractions. | Week 8: Accessibility review; contrast & semantics. | Week 9: Hand-off practices; specs and annotations. | Week 10: Portfolio case study #1. | Week 11: Portfolio case study #2. | Week 12: Critique session and job outreach.
Illustrator,Design & Art,"3D, branding, color theory, composition, design system, illustration, motion, prototyping, style guide, typography, ux, visual design","Illustrator focuses on 3D, branding, color theory, composition, design system and delivers value through practical projects, collaboration, and measurable outcomes in the Design & Art domain.","Students, career switchers, and early professionals seeking a structured, hands-on roadmap with measurable milestones.",Degree/Bootcamp; Self-study projects; Internships/Apprenticeships; Volunteering; Certifications,"Layout, Typography, Color, Prototyping, Research, Collaboration, Presentation","Figma, Adobe CC, Blender, Procreate, Pen & Paper","Explore: Foundations in design principles and history. | Learn: Structured course and daily design exercises. | Build: Portfolio projects with process write-ups. | Validate: Usability tests and critique sessions. | Publish: Case studies and social presence. | Advance: Specialize (brand, motion, 3D, UX) and freelance.",Week 1: Design audits of 5 products; mood boards. | Week 2: Typography & grids; redesign a landing page. | Week 3: Color systems; design tokens. | Week 4: Component libraries; prototyping interactions. | Week 5: Logo/brand exercise; style guide. | Week 6: Usability testing; iterate. | Week 7: Motion basics; microinteractions. | Week 8: Accessibility review; contrast & semantics. | Week 9: Hand-off practices; specs and annotations. | Week 10: Portfolio case study #1. | Week 11: Portfolio case study #2. | Week 12: Critique session and job outreach.
3D Artist,Design & Art,"3D, branding, color theory, composition, design system, illustration, motion, prototyping, style guide, typography, ux, visual design","3D Artist focuses on 3D, branding, color theory, composition, design system and delivers value through practical projects, collaboration, and measurable outcomes in the Design & Art domain.","Students, career switchers, and early professionals seeking a structured, hands-on roadmap with measurable milestones.",Degree/Bootcamp; Self-study projects; Internships/Apprenticeships; Volunteering; Certifications,"Layout, Typography, Color, Prototyping, Research, Collaboration, Presentation","Figma, Adobe CC, Blender, Procreate, Pen & Paper","Explore: Foundations in design principles and history. | Learn: Structured course and daily design exercises. | Build: Portfolio projects with process write-ups. | Validate: Usability tests and critique sessions. | Publish: Case studies and social presence. | Advance: Specialize (brand, motion, 3D, UX) and freelance.",Week 1: Design audits of 5 products; mood boards. | Week 2: Typography & grids; redesign a landing page. | Week 3: Color systems; design tokens. | Week 4: Component libraries; prototyping interactions. | Week 5: Logo/brand exercise; style guide. | Week 6: Usability testing; iterate. | Week 7: Motion basics; microinteractions. | Week 8: Accessibility review; contrast & semantics. | Week 9: Hand-off practices; specs and annotations. | Week 10: Portfolio case study #1. | Week 11: Portfolio case study #2. | Week 12: Critique session and job outreach.
Game Designer,Design & Art,"3D, branding, color theory, composition, design system, illustration, motion, prototyping, style guide, typography, ux, visual design","Game Designer focuses on 3D, branding, color theory, composition, design system and delivers value through practical projects, collaboration, and measurable outcomes in the Design & Art domain.","Students, career switchers, and early professionals seeking a structured, hands-on roadmap with measurable milestones.",Degree/Bootcamp; Self-study projects; Internships/Apprenticeships; Volunteering; Certifications,"Layout, Typography, Color, Prototyping, Research, Collaboration, Presentation","Figma, Adobe CC, Blender, Procreate, Pen & Paper","Explore: Foundations in design principles and history. | Learn: Structured course and daily design exercises. | Build: Portfolio projects with process write-ups. | Validate: Usability tests and critique sessions. | Publish: Case studies and social presence. | Advance: Specialize (brand, motion, 3D, UX) and freelance.",Week 1: Design audits of 5 products; mood boards. | Week 2: Typography & grids; redesign a landing page. | Week 3: Color systems; design tokens. | Week 4: Component libraries; prototyping interactions. | Week 5: Logo/brand exercise; style guide. | Week 6: Usability testing; iterate. | Week 7: Motion basics; microinteractions. | Week 8: Accessibility review; contrast & semantics. | Week 9: Hand-off practices; specs and annotations. | Week 10: Portfolio case study #1. | Week 11: Portfolio case study #2. | Week 12: Critique session and job outreach.
Animator (2D/3D),Design & Art,"3D, branding, color theory, composition, design system, illustration, motion, prototyping, style guide, typography, ux, visual design","Animator (2D/3D) focuses on 3D, branding, color theory, composition, design system and delivers value through practical projects, collaboration, and measurable outcomes in the Design & Art domain.","Students, career switchers, and early professionals seeking a structured, hands-on roadmap with measurable milestones.",Degree/Bootcamp; Self-study projects; Internships/Apprenticeships; Volunteering; Certifications,"Layout, Typography, Color, Prototyping, Research, Collaboration, Presentation","Figma, Adobe CC, Blender, Procreate, Pen & Paper","Explore: Foundations in design principles and history. | Learn: Structured course and daily design exercises. | Build: Portfolio projects with process write-ups. | Validate: Usability tests and critique sessions. | Publish: Case studies and social presence. | Advance: Specialize (brand, motion, 3D, UX) and freelance.",Week 1: Design audits of 5 products; mood boards. | Week 2: Typography & grids; redesign a landing page. | Week 3: Color systems; design tokens. | Week 4: Component libraries; prototyping interactions. | Week 5: Logo/brand exercise; style guide. | Week 6: Usability testing; iterate. | Week 7: Motion basics; microinteractions. | Week 8: Accessibility review; contrast & semantics. | Week 9: Hand-off practices; specs and annotations. | Week 10: Portfolio case study #1. | Week 11: Portfolio case study #2. | Week 12: Critique session and job outreach.
VFX Artist,Media & Film,"VFX, cinematography, color grading, distribution, editing, lighting, production, scriptwriting, shot list, sound design, storyboard, storytelling","VFX Artist focuses on VFX, cinematography, color grading, distribution, editing and delivers value through practical projects, collaboration, and measurable outcomes in the Media & Film domain.","Students, career switchers, and early professionals seeking a structured, hands-on roadmap with measurable milestones.",Degree/Bootcamp; Self-study projects; Internships/Apprenticeships; Volunteering; Certifications,"Narrative Structure, Camera Operation, Editing, Sound, Lighting, Producing, Pitching","DaVinci Resolve, Premiere Pro, After Effects, Final Cut Pro, Pro Tools, Cameras/Lighting","Explore: Watch and analyze films; learn vocabulary and craft. | Learn: Take courses on directing, cinematography, or editing. | Build: Create short films and scene recreations. | Collaborate: Join crews; practice on-set etiquette. | Distribute: Submit to festivals; build an online presence. | Advance: Specialize (editing, color, VFX) and build a reel.","Week 1: Script analysis; shot lists for 3 scenes. | Week 2: Camera fundamentals; three-point lighting. | Week 3: Short film pre-production; permits & scheduling. | Week 4: Principal photography; capture wild sound. | Week 5: Rough cut; assemble edit. | Week 6: Sound design and foley basics. | Week 7: Color correction & grading. | Week 8: VFX or motion graphics intro. | Week 9: ADR and final mix. | Week 10: Poster, trailer, and EPK. | Week 11: Festival submissions and social campaign. | Week 12: Portfolio reel update and outreach."
Video Editor,Media & Film,"VFX, cinematography, color grading, distribution, editing, lighting, production, scriptwriting, shot list, sound design, storyboard, storytelling","Video Editor focuses on VFX, cinematography, color grading, distribution, editing and delivers value through practical projects, collaboration, and measurable outcomes in the Media & Film domain.","Students, career switchers, and early professionals seeking a structured, hands-on roadmap with measurable milestones.",Degree/Bootcamp; Self-study projects; Internships/Apprenticeships; Volunteering; Certifications,"Narrative Structure, Camera Operation, Editing, Sound, Lighting, Producing, Pitching","DaVinci Resolve, Premiere Pro, After Effects, Final Cut Pro, Pro Tools, Cameras/Lighting","Explore: Watch and analyze films; learn vocabulary and craft. | Learn: Take courses on directing, cinematography, or editing. | Build: Create short films and scene recreations. | Collaborate: Join crews; practice on-set etiquette. | Distribute: Submit to festivals; build an online presence. | Advance: Specialize (editing, color, VFX) and build a reel.","Week 1: Script analysis; shot lists for 3 scenes. | Week 2: Camera fundamentals; three-point lighting. | Week 3: Short film pre-production; permits & scheduling. | Week 4: Principal photography; capture wild sound. | Week 5: Rough cut; assemble edit. | Week 6: Sound design and foley basics. | Week 7: Color correction & grading. | Week 8: VFX or motion graphics intro. | Week 9: ADR and final mix. | Week 10: Poster, trailer, and EPK. | Week 11: Festival submissions and social campaign. | Week 12: Portfolio reel update and outreach."
Colorist,Media & Film,"VFX, cinematography, color grading, distribution, editing, lighting, production, scriptwriting, shot list, sound design, storyboard, storytelling","Colorist focuses on VFX, cinematography, color grading, distribution, editing and delivers value through practical projects, collaboration, and measurable outcomes in the Media & Film domain.","Students, career switchers, and early professionals seeking a structured, hands-on roadmap with measurable milestones.",Degree/Bootcamp; Self-study projects; Internships/Apprenticeships; Volunteering; Certifications,"Narrative Structure, Camera Operation, Editing, Sound, Lighting, Producing, Pitching","DaVinci Resolve, Premiere Pro, After Effects, Final Cut Pro, Pro Tools, Cameras/Lighting","Explore: Watch and analyze films; learn vocabulary and craft. | Learn: Take courses on directing, cinematography, or editing. | Build: Create short films and scene recreations. | Collaborate: Join crews; practice on-set etiquette. | Distribute: Submit to festivals; build an online presence. | Advance: Specialize (editing, color, VFX) and build a reel.","Week 1: Script analysis; shot lists for 3 scenes. | Week 2: Camera fundamentals; three-point lighting. | Week 3: Short film pre-production; permits & scheduling. | Week 4: Principal photography; capture wild sound. | Week 5: Rough cut; assemble edit. | Week 6: Sound design and foley basics. | Week 7: Color correction & grading. | Week 8: VFX or motion graphics intro. | Week 9: ADR and final mix. | Week 10: Poster, trailer, and EPK. | Week 11: Festival submissions and social campaign. | Week 12: Portfolio reel update and outreach."
Sound Designer,Media & Film,"VFX, cinematography, color grading, distribution, editing, lighting, production, scriptwriting, shot list, sound design, storyboard, storytelling","Sound Designer focuses on VFX, cinematography, color grading, distribution, editing and delivers value through practical projects, collaboration, and measurable outcomes in the Media & Film domain.","Students, career switchers, and early professionals seeking a structured, hands-on roadmap with measurable milestones.",Degree/Bootcamp; Self-study projects; Internships/Apprenticeships; Volunteering; Certifications,"Narrative Structure, Camera Operation, Editing, Sound, Lighting, Producing, Pitching","DaVinci Resolve, Premiere Pro, After Effects, Final Cut Pro, Pro Tools, Cameras/Lighting","Explore: Watch and analyze films; learn vocabulary and craft. | Learn: Take courses on directing, cinematography, or editing. | Build: Create short films and scene recreations. | Collaborate: Join crews; practice on-set etiquette. | Distribute: Submit to festivals; build an online presence. | Advance: Specialize (editing, color, VFX) and build a reel.","Week 1: Script analysis; shot lists for 3 scenes. | Week 2: Camera fundamentals; three-point lighting. | Week 3: Short film pre-production; permits & scheduling. | Week 4: Principal photography; capture wild sound. | Week 5: Rough cut; assemble edit. | Week 6: Sound design and foley basics. | Week 7: Color correction & grading. | Week 8: VFX or motion graphics intro. | Week 9: ADR and final mix. | Week 10: Poster, trailer, and EPK. | Week 11: Festival submissions and social campaign. | Week 12: Portfolio reel update and outreach."
Cinematographer,Media & Film,"VFX, cinematography, color grading, distribution, editing, lighting, production, scriptwriting, shot list, sound design, storyboard, storytelling","Cinematographer focuses on VFX, cinematography, color grading, distribution, editing and delivers value through practical projects, collaboration, and measurable outcomes in the Media & Film domain.","Students, career switchers, and early professionals seeking a structured, hands-on roadmap with measurable milestones.",Degree/Bootcamp; Self-study projects; Internships/Apprenticeships; Volunteering; Certifications,"Narrative Structure, Camera Operation, Editing, Sound, Lighting, Producing, Pitching","DaVinci Resolve, Premiere Pro, After Effects, Final Cut Pro, Pro Tools, Cameras/Lighting","Explore: Watch and analyze films; learn vocabulary and craft. | Learn: Take courses on directing, cinematography, or editing. | Build: Create short films and scene recreations. | Collaborate: Join crews; practice on-set etiquette. | Distribute: Submit to festivals; build an online presence. | Advance: Specialize (editing, color, VFX) and build a reel.","Week 1: Script analysis; shot lists for 3 scenes. | Week 2: Camera fundamentals; three-point lighting. | Week 3: Short film pre-production; permits & scheduling. | Week 4: Principal photography; capture wild sound. | Week 5: Rough cut; assemble edit. | Week 6: Sound design and foley basics. | Week 7: Color correction & grading. | Week 8: VFX or motion graphics intro. | Week 9: ADR and final mix. | Week 10: Poster, trailer, and EPK. | Week 11: Festival submissions and social campaign. | Week 12: Portfolio reel update and outreach."
Film Director,Media & Film,"VFX, cinematography, color grading, distribution, editing, lighting, production, scriptwriting, shot list, sound design, storyboard, storytelling","Film Director focuses on VFX, cinematography, color grading, distribution, editing and delivers value through practical projects, collaboration, and measurable outcomes in the Media & Film domain.","Students, career switchers, and early professionals seeking a structured, hands-on roadmap with measurable milestones.",Degree/Bootcamp; Self-study projects; Internships/Apprenticeships; Volunteering; Certifications,"Narrative Structure, Camera Operation, Editing, Sound, Lighting, Producing, Pitching","DaVinci Resolve, Premiere Pro, After Effects, Final Cut Pro, Pro Tools, Cameras/Lighting","Explore: Watch and analyze films; learn vocabulary and craft. | Learn: Take courses on directing, cinematography, or editing. | Build: Create short films and scene recreations. | Collaborate: Join crews; practice on-set etiquette. | Distribute: Submit to festivals; build an online presence. | Advance: Specialize (editing, color, VFX) and build a reel.","Week 1: Script analysis; shot lists for 3 scenes. | Week 2: Camera fundamentals; three-point lighting. | Week 3: Short film pre-production; permits & scheduling. | Week 4: Principal photography; capture wild sound. | Week 5: Rough cut; assemble edit. | Week 6: Sound design and foley basics. | Week 7: Color correction & grading. | Week 8: VFX or motion graphics intro. | Week 9: ADR and final mix. | Week 10: Poster, trailer, and EPK. | Week 11: Festival submissions and social campaign. | Week 12: Portfolio reel update and outreach."
Producer,Media & Film,"VFX, cinematography, color grading, distribution, editing, lighting, production, scriptwriting, shot list, sound design, storyboard, storytelling","Producer focuses on VFX, cinematography, color grading, distribution, editing and delivers value through practical projects, collaboration, and measurable outcomes in the Media & Film domain.","Students, career switchers, and early professionals seeking a structured, hands-on roadmap with measurable milestones.",Degree/Bootcamp; Self-study projects; Internships/Apprenticeships; Volunteering; Certifications,"Narrative Structure, Camera Operation, Editing, Sound, Lighting, Producing, Pitching","DaVinci Resolve, Premiere Pro, After Effects, Final Cut Pro, Pro Tools, Cameras/Lighting","Explore: Watch and analyze films; learn vocabulary and craft. | Learn: Take courses on directing, cinematography, or editing. | Build: Create short films and scene recreations. | Collaborate: Join crews; practice on-set etiquette. | Distribute: Submit to festivals; build an online presence. | Advance: Specialize (editing, color, VFX) and build a reel.","Week 1: Script analysis; shot lists for 3 scenes. | Week 2: Camera fundamentals; three-point lighting. | Week 3: Short film pre-production; permits & scheduling. | Week 4: Principal photography; capture wild sound. | Week 5: Rough cut; assemble edit. | Week 6: Sound design and foley basics. | Week 7: Color correction & grading. | Week 8: VFX or motion graphics intro. | Week 9: ADR and final mix. | Week 10: Poster, trailer, and EPK. | Week 11: Festival submissions and social campaign. | Week 12: Portfolio reel update and outreach."
